N Tempo_ms
1000 0.000000
2000 0.000000
3000 2.000000
4000 0.000000
5000 2.000000
6000 1.000000
7000 3.000000
8000 3.000000
9000 4.000000
10000 4.000000
11000 6.000000
12000 5.000000
13000 0.000000
14000 6.000000
15000 7.000000
16000 1.000000
17000 8.000000
18000 0.000000
19000 8.000000
20000 0.000000
21000 0.000000
22000 16.000000
23000 0.000000
24000 0.000000
25000 16.000000
26000 6.000000
27000 8.000000
28000 6.000000
29000 8.000000
30000 5.000000
31000 8.000000
32000 6.000000
33000 0.000000
34000 16.000000
35000 0.000000
36000 15.000000
37000 0.000000
38000 16.000000
39000 16.000000
40000 10.000000
41000 12.000000
42000 12.000000
43000 9.000000
44000 12.000000
45000 8.000000
46000 0.000000
47000 26.000000
48000 6.000000
49000 16.000000
50000 0.000000
51000 0.000000
52000 25.000000
53000 6.000000
54000 17.000000
55000 15.000000
56000 16.000000
57000 1.000000
58000 29.000000
59000 11.000000
60000 18.000000
61000 5.000000
62000 28.000000
63000 15.000000
64000 11.000000
65000 16.000000
66000 17.000000
67000 24.000000
68000 17.000000
69000 5.000000
70000 16.000000
71000 30.000000
72000 18.000000
73000 16.000000
74000 15.000000
75000 16.000000
76000 31.000000
77000 20.000000
78000 15.000000
79000 28.000000
80000 23.000000
81000 20.000000
82000 22.000000
83000 16.000000
84000 16.000000
85000 34.000000
86000 21.000000
87000 24.000000
88000 23.000000
89000 25.000000
90000 15.000000
91000 32.000000
92000 16.000000
93000 34.000000
94000 24.000000
95000 22.000000
96000 15.000000
97000 38.000000
98000 25.000000
99000 15.000000
100000 32.000000
101000 16.000000
102000 40.000000
103000 23.000000
104000 32.000000
105000 17.000000
106000 31.000000
107000 35.000000
108000 28.000000
109000 30.000000
110000 26.000000
111000 31.000000
112000 32.000000
113000 16.000000
114000 33.000000
115000 31.000000
116000 32.000000
117000 39.000000
118000 32.000000
119000 24.000000
120000 32.000000
121000 33.000000
122000 31.000000
123000 32.000000
124000 32.000000
125000 31.000000
126000 43.000000
127000 28.000000
128000 41.000000
129000 22.000000
130000 48.000000
131000 34.000000
132000 30.000000
133000 31.000000
134000 46.000000
135000 34.000000
136000 37.000000
137000 37.000000
138000 36.000000
139000 31.000000
140000 32.000000
141000 48.000000
142000 32.000000
143000 47.000000
144000 32.000000
145000 32.000000
146000 47.000000
147000 32.000000
148000 48.000000
149000 31.000000
150000 49.000000
151000 34.000000
152000 45.000000
153000 32.000000
154000 52.000000
155000 46.000000
156000 37.000000
157000 31.000000
158000 49.000000
159000 50.000000
160000 44.000000
161000 32.000000
162000 49.000000
163000 47.000000
164000 33.000000
165000 58.000000
166000 46.000000
167000 47.000000
168000 38.000000
169000 47.000000
170000 50.000000
171000 46.000000
172000 32.000000
173000 60.000000
174000 34.000000
175000 51.000000
176000 45.000000
177000 48.000000
178000 54.000000
179000 56.000000
180000 51.000000
181000 44.000000
182000 55.000000
183000 40.000000
184000 48.000000
185000 48.000000
186000 63.000000
187000 49.000000
188000 47.000000
189000 63.000000
190000 47.000000
191000 49.000000
192000 47.000000
193000 64.000000
194000 48.000000
195000 63.000000
196000 54.000000
197000 41.000000
198000 64.000000
199000 48.000000
200000 62.000000
201000 58.000000
202000 53.000000
203000 49.000000
204000 63.000000
