N Tempo_ms
1000 0.000000
2000 0.000000
3000 0.000000
4000 0.000000
5000 0.000000
6000 5.000000
7000 1.000000
8000 2.000000
9000 2.000000
10000 4.000000
11000 1.000000
12000 3.000000
13000 3.000000
14000 4.000000
15000 3.000000
16000 4.000000
17000 6.000000
18000 5.000000
19000 0.000000
20000 6.000000
21000 0.000000
22000 8.000000
23000 0.000000
24000 0.000000
25000 11.000000
26000 4.000000
27000 3.000000
28000 4.000000
29000 4.000000
30000 4.000000
31000 8.000000
32000 2.000000
33000 10.000000
34000 10.000000
35000 6.000000
36000 4.000000
37000 8.000000
38000 0.000000
39000 21.000000
40000 3.000000
41000 9.000000
42000 8.000000
43000 8.000000
44000 8.000000
45000 18.000000
46000 11.000000
47000 1.000000
48000 1.000000
49000 15.000000
50000 8.000000
51000 8.000000
52000 8.000000
53000 11.000000
54000 8.000000
55000 4.000000
56000 17.000000
57000 7.000000
58000 17.000000
59000 13.000000
60000 10.000000
61000 10.000000
62000 15.000000
63000 16.000000
64000 25.000000
65000 19.000000
66000 13.000000
67000 15.000000
68000 17.000000
69000 16.000000
70000 14.000000
71000 14.000000
72000 17.000000
73000 13.000000
74000 15.000000
75000 16.000000
76000 11.000000
77000 17.000000
78000 12.000000
79000 17.000000
80000 12.000000
81000 13.000000
82000 16.000000
83000 14.000000
84000 9.000000
85000 15.000000
86000 18.000000
87000 13.000000
88000 19.000000
89000 15.000000
90000 20.000000
91000 10.000000
92000 25.000000
93000 17.000000
94000 15.000000
95000 14.000000
96000 14.000000
97000 19.000000
98000 18.000000
99000 22.000000
100000 18.000000
101000 16.000000
102000 12.000000
103000 14.000000
104000 19.000000
105000 15.000000
106000 14.000000
107000 23.000000
108000 21.000000
109000 25.000000
110000 18.000000
111000 18.000000
112000 20.000000
113000 12.000000
114000 28.000000
115000 35.000000
116000 29.000000
117000 17.000000
118000 35.000000
119000 16.000000
120000 16.000000
121000 32.000000
122000 15.000000
123000 16.000000
124000 31.000000
125000 16.000000
126000 14.000000
127000 32.000000
128000 16.000000
129000 22.000000
130000 26.000000
131000 23.000000
132000 19.000000
133000 26.000000
134000 25.000000
135000 20.000000
136000 18.000000
137000 23.000000
138000 19.000000
139000 24.000000
140000 26.000000
141000 23.000000
142000 22.000000
143000 20.000000
144000 27.000000
145000 20.000000
146000 26.000000
147000 26.000000
148000 21.000000
149000 23.000000
150000 19.000000
151000 22.000000
152000 28.000000
153000 25.000000
154000 29.000000
155000 24.000000
156000 27.000000
157000 27.000000
158000 36.000000
159000 32.000000
160000 41.000000
161000 42.000000
162000 45.000000
163000 47.000000
164000 49.000000
165000 47.000000
166000 52.000000
167000 48.000000
168000 45.000000
169000 53.000000
170000 51.000000
171000 50.000000
172000 49.000000
173000 50.000000
174000 49.000000
175000 69.000000
176000 67.000000
177000 62.000000
178000 66.000000
179000 65.000000
180000 66.000000
181000 64.000000
182000 57.000000
183000 64.000000
184000 65.000000
185000 78.000000
186000 63.000000
187000 32.000000
188000 30.000000
189000 32.000000
190000 29.000000
191000 36.000000
192000 31.000000
193000 32.000000
194000 30.000000
195000 31.000000
196000 33.000000
197000 29.000000
198000 41.000000
199000 29.000000
200000 38.000000
201000 31.000000
202000 32.000000
203000 36.000000
204000 34.000000
