N Tempo_ms
1000 0.000000
2000 0.000000
3000 0.000000
4000 0.000000
5000 0.000000
6000 0.000000
7000 0.000000
8000 0.000000
9000 15.000000
10000 0.000000
11000 10.000000
12000 7.000000
13000 8.000000
14000 0.000000
15000 17.000000
16000 0.000000
17000 15.000000
18000 16.000000
19000 10.000000
20000 0.000000
21000 14.000000
22000 0.000000
23000 20.000000
24000 3.000000
25000 0.000000
26000 1.000000
27000 9.000000
28000 9.000000
29000 9.000000
30000 10.000000
31000 4.000000
32000 16.000000
33000 0.000000
34000 16.000000
35000 18.000000
36000 12.000000
37000 10.000000
38000 9.000000
39000 16.000000
40000 0.000000
41000 1.000000
42000 24.000000
43000 7.000000
44000 16.000000
45000 16.000000
46000 16.000000
47000 7.000000
48000 35.000000
49000 12.000000
50000 16.000000
51000 32.000000
52000 17.000000
53000 28.000000
54000 57.000000
55000 67.000000
56000 68.000000
57000 33.000000
58000 47.000000
59000 43.000000
60000 58.000000
61000 33.000000
62000 41.000000
63000 41.000000
64000 67.000000
65000 65.000000
66000 25.000000
67000 25.000000
68000 24.000000
69000 34.000000
70000 51.000000
71000 32.000000
72000 32.000000
73000 33.000000
74000 24.000000
75000 16.000000
76000 17.000000
77000 40.000000
78000 33.000000
79000 32.000000
80000 31.000000
81000 32.000000
82000 32.000000
83000 16.000000
84000 25.000000
85000 32.000000
86000 48.000000
87000 33.000000
88000 32.000000
89000 49.000000
90000 24.000000
91000 48.000000
92000 41.000000
93000 32.000000
94000 32.000000
95000 24.000000
96000 28.000000
97000 30.000000
98000 30.000000
99000 35.000000
100000 18.000000
101000 31.000000
102000 40.000000
103000 32.000000
104000 33.000000
105000 31.000000
106000 43.000000
107000 40.000000
108000 47.000000
109000 33.000000
110000 32.000000
111000 57.000000
112000 48.000000
113000 48.000000
114000 48.000000
115000 49.000000
116000 49.000000
117000 48.000000
118000 40.000000
119000 41.000000
120000 42.000000
121000 63.000000
122000 50.000000
123000 64.000000
124000 44.000000
125000 47.000000
126000 43.000000
127000 52.000000
128000 33.000000
129000 38.000000
130000 45.000000
131000 40.000000
132000 38.000000
133000 40.000000
134000 40.000000
135000 32.000000
136000 50.000000
137000 28.000000
138000 47.000000
139000 64.000000
140000 58.000000
141000 49.000000
142000 49.000000
143000 55.000000
144000 61.000000
145000 57.000000
146000 63.000000
147000 50.000000
148000 46.000000
149000 47.000000
150000 46.000000
151000 39.000000
152000 47.000000
153000 54.000000
154000 48.000000
155000 57.000000
156000 64.000000
157000 56.000000
158000 66.000000
159000 64.000000
160000 49.000000
161000 64.000000
162000 64.000000
163000 64.000000
164000 62.000000
165000 64.000000
166000 65.000000
167000 88.000000
168000 73.000000
169000 69.000000
170000 59.000000
171000 73.000000
172000 56.000000
173000 57.000000
174000 81.000000
175000 57.000000
176000 82.000000
177000 73.000000
178000 57.000000
179000 64.000000
180000 72.000000
181000 81.000000
182000 65.000000
183000 72.000000
184000 81.000000
185000 56.000000
186000 64.000000
187000 88.000000
188000 81.000000
189000 72.000000
190000 73.000000
191000 65.000000
192000 73.000000
193000 80.000000
194000 81.000000
195000 65.000000
196000 81.000000
197000 65.000000
198000 64.000000
199000 71.000000
200000 89.000000
201000 72.000000
202000 57.000000
203000 78.000000
204000 88.000000
