N Tempo_ms
1000 0.000000
2000 0.000000
3000 0.000000
4000 0.000000
5000 2.000000
6000 1.000000
7000 0.000000
8000 0.000000
9000 0.000000
10000 0.000000
11000 0.000000
12000 0.000000
13000 12.000000
14000 1.000000
15000 39.000000
16000 3.000000
17000 7.000000
18000 8.000000
19000 21.000000
20000 4.000000
21000 5.000000
22000 7.000000
23000 10.000000
24000 10.000000
25000 2.000000
26000 0.000000
27000 10.000000
28000 2.000000
29000 8.000000
30000 7.000000
31000 3.000000
32000 0.000000
33000 8.000000
34000 0.000000
35000 0.000000
36000 9.000000
37000 0.000000
38000 8.000000
39000 0.000000
40000 8.000000
41000 0.000000
42000 0.000000
43000 0.000000
44000 0.000000
45000 0.000000
46000 16.000000
47000 1.000000
48000 9.000000
49000 0.000000
50000 8.000000
51000 0.000000
52000 0.000000
53000 18.000000
54000 12.000000
55000 6.000000
56000 7.000000
57000 7.000000
58000 3.000000
59000 8.000000
60000 8.000000
61000 0.000000
62000 4.000000
63000 4.000000
64000 5.000000
65000 0.000000
66000 15.000000
67000 6.000000
68000 0.000000
69000 2.000000
70000 0.000000
71000 14.000000
72000 0.000000
73000 16.000000
74000 8.000000
75000 4.000000
76000 4.000000
77000 0.000000
78000 13.000000
79000 0.000000
80000 20.000000
81000 9.000000
82000 8.000000
83000 10.000000
84000 0.000000
85000 14.000000
86000 9.000000
87000 9.000000
88000 8.000000
89000 8.000000
90000 13.000000
91000 15.000000
92000 10.000000
93000 10.000000
94000 10.000000
95000 15.000000
96000 10.000000
97000 13.000000
98000 8.000000
99000 9.000000
100000 8.000000
101000 13.000000
102000 10.000000
103000 6.000000
104000 8.000000
105000 9.000000
106000 16.000000
107000 9.000000
108000 16.000000
109000 11.000000
110000 14.000000
111000 9.000000
112000 17.000000
113000 8.000000
114000 8.000000
115000 16.000000
116000 9.000000
117000 8.000000
118000 17.000000
119000 9.000000
120000 8.000000
121000 8.000000
122000 14.000000
123000 17.000000
124000 15.000000
125000 8.000000
126000 9.000000
127000 16.000000
128000 21.000000
129000 17.000000
130000 28.000000
131000 24.000000
132000 22.000000
133000 29.000000
134000 27.000000
135000 26.000000
136000 30.000000
137000 33.000000
138000 40.000000
139000 30.000000
140000 23.000000
141000 19.000000
142000 20.000000
143000 31.000000
144000 21.000000
145000 24.000000
146000 14.000000
147000 12.000000
148000 15.000000
149000 17.000000
150000 12.000000
151000 9.000000
152000 17.000000
153000 8.000000
154000 14.000000
155000 16.000000
156000 16.000000
157000 25.000000
158000 13.000000
159000 12.000000
160000 4.000000
161000 31.000000
162000 16.000000
163000 0.000000
164000 15.000000
165000 8.000000
166000 8.000000
167000 17.000000
168000 15.000000
169000 17.000000
170000 15.000000
171000 16.000000
172000 15.000000
173000 17.000000
174000 16.000000
175000 16.000000
176000 17.000000
177000 15.000000
178000 11.000000
179000 26.000000
180000 9.000000
181000 26.000000
182000 17.000000
183000 2.000000
184000 15.000000
185000 14.000000
186000 14.000000
187000 14.000000
188000 16.000000
189000 25.000000
190000 21.000000
191000 12.000000
192000 16.000000
193000 16.000000
194000 16.000000
195000 18.000000
196000 18.000000
197000 18.000000
198000 19.000000
199000 16.000000
200000 25.000000
201000 15.000000
202000 4.000000
203000 16.000000
204000 16.000000
